Reference,Label
"Beckermann, M. 2010. ""Regeneration Following Traumatic Brain Injury: Signals, Signposts and Scaffolds."" Paper presented at the Biomedical Sciences and Engineering Conference (BSEC), Oak Ridge National Laboratory, Oak Ridge, TN, May 25-26, 2010. https://doi.org/10.1109/BSEC.2010.5510841.",Seminar
"Hall, Kira, Michael Meacham, and Richard Shapiro, ed. 1989. Proceedings of the Fifteenth Annual Meeting of the Berkeley Linguistics Society: General Session and Parasession on Theoretical Issues in Language Reconstruction, February 18-20, 1989. Berkeley, CA: Berkeley Linguistics Society.",Seminar
Regional workshop on best practices in disaster mitigation,Seminar
"Winarto, Y.T., H. Prahara, E. Anantasari, and Kristiyanto with comments by C.J. Stigter. 2010. Rural response to climate change: Rainfall measurements by farmers in Java. Paper presented in the international seminar and workshop on: ",Seminar
"Peirce, W. 2004. Metacognition: Study Strategies, Monitoring, and Motivation. A greatly expanded text version of a workshop presented November 17, 2004, at Prince George's Community College. http:// academic. pgcc. edu/~wpeirce/MCCCTR/metacognition.htm. Diakses 14-06-08",Seminar
www.bakosurtanal.go.id/bakosurtanal/workshop-dampak-kenaikan-permukaan-laut-pada-lingkungan-pantai-indonesia-2/#. Diakses pada 13 juni 2012.,Seminar
": Proposal for a workshop ECPR joint sessions of workshops Warsaw, Poland. Diakses pada tanggal 19 November 2015.",Seminar
"WWF-Hongkong. 2003. Marine Mammals. In Marine mammals survey techniques. Proceedings of the workshop on Cetacean Spesies Identification.Marine Mammals Survey Techniques and review of Regional Knowledge, 29-30 Januari 2003. Jakarta. Indonesia. Departemen Kelautan dan Periakan dan WWF-Indonesia. Jakarta, Indonesia.",Seminar
"Samara, T. (2005). Making and breaking the grid: A graphic design layout workshop. Beverly: Rockport Publishers.",Seminar
"Ahmad T, Mumtaz A, Ahmad D, Rashid N. Lead exposure in children living around the automobile and battery repair workshops. Biomedica 2009;25:128-32.",Seminar
Deputi Bidang Pemasaran Dan Jaringan Usaha Kementerian Koperasi dan UKM. (2006). Buku proceeding: Bursa kemitraan workshop dan temu bisnis.,Seminar
"Granfinkel, S. L (2002). Adopting fair information practices to low cost RFID system. Paper presented at Ubiquitous Computing 2002, Privacy workshop. Diakses dari",Seminar
com/2012/03/materi-workshop.pdf(Diakses tanggal 2,Seminar
"Karsidi, A. 2011. Bakosurtanal: Dampak Kenaikan Permukaan Laut pada Lingkungan Pantai Indonesia. Workshop Dampak Kenaikan Permukaan Laut pada Lingkungan Pantai Indonesia. 27 April 2011. IPB International Convention Center Bogor. http://www.bakosurtanal.go.id/bakosurtanal/workshop-dampak-kenaikan-permukaan-laut-pada-lingkungan-pantai-indonesia-2/ diakses 18 Mei 2011",Seminar
"Bazzano LA. Dietary intake of fruit and vegetables and risk of diabetes mellitus and cardiovascular diseases. Background paper for the joint FAO/WHO workshop on fruit and vegetables for health; 2004 Sep1-3; Kobe, Japan.",Seminar
"Dijk, Cees Van, 2002. Magic and Violence, Paper presented at the 13th annual workshop ""European Social Science Java Network (ESSJN): Youth and Identity"", Marseilles, 2-4 May 2002",Seminar
"Ahimsa-Putra, H.S., “The Living al-Qur’an: Beberapa Perspektif Antropologi,” makalah workshop, 2007.",Seminar
"Murphy, A. R. (1995). From Practice to Performance: A manual teacher training workshop activities. Washington D.C: ELPD.",Seminar
Sulistyo-Basuki. (2010) “Revitalisasi Pendidikan dan Profesi Pustakawan” makalah workshop Revitalisasi dan Profesi Pustakawan di FISIP UNS 21 Desember.,Seminar
"Koenig, J.A. (2011). Assessing 21st century skills: summary of a workshop. Washington, DC: The National Academies Press.",Seminar
http://misrc.umn.edu/workshops/2003/spring/Tallon_042503.pdf.,Seminar
"Xia, W. & King, W. R. (2004). Antecedents of Organizational IT Infrastructure Capabilities. Diakses dari http://www.misrc.umn.edu/workshops/2004/fall/weidong.pdf.",Seminar
"Hoekstra, P., Lindeboom, H., Bak, R., Bergh, G. V. D., Tiwi, D. A., Kiswara, W., Meesters, E., Noor, Y., Sukmantalya, N., Nuraini, S., & Weering, T.V. (2002). An Integrated Coastal Zone Management Study. Staple (Ed.) Scietific Programme Indonesia-Netherlands Procesings of a workshop held on February 12th 2002. Bandung. Indonesia. p: 59-70.",Seminar
"[1]D. Povey, et al. ""The Kaldi speech recognition toolkit."" IEEE 2011 workshop on automatic speech recognition and understanding. No. EPFL-CONF-192584. IEEE Signal Processing Society, 2011.",Seminar
"Arlow, J., Emmerich,W., & Quinn, J. (1999). Literate modeling-capturing business knowledge with the UML. The Unified Modeling Language: first international workshop selected paper/UML ’98: Beyond the Notation, 189-199. London: Springer-Verlag.",Seminar
"Hitz, M., Kappel, G. (1999). Developing with UML some pitfalls and workarounds. The Unified Modeling Language: first international workshop selected paper/UML ’98: Beyond the Notation, 9-20. London: Springer-Verlag.",Seminar
"Green, C. (2004). Design it Yourself: Graphic workshop. Massachusetts: Rockport.",Seminar
"Madiyono B, Rahayuningsih SE. Penanganan penyakit jantung anak di Indonesia. Seminar dan workshop kardiologi sehari. Menuju cardiac centre yang handal. Penanganan penyakit jantung anak di Indonesia. RSUP Dr. Sardjito - OLVG - FK UGM; 2000.",Seminar
Proceedings of the first international workshop on mobile vision,Seminar
"Chee PE. 2000. Fishcode management: Supplement to the report of a workshop on the fishery and management of a short mackerel (Rastrelliger spp.) on the West Coast of Peninsular Malaysia. FAO, Rome (IT).",Seminar
"Gjerde, K. M., Breide, C., & Fund, W. W. (2003). Areas IWCoP. Towards a strategy for high seas marine protected areas. In: Proceedings of the IUCN, WCPA and WWF experts workshop on high seas marine protected areas, 15–17 January 2003, Malaga, Spain: IUCN.",Seminar
"Rachmajanti, S. (2017). Building cultural awareness and critical thinking skills through project-based task: a workshop for Indonesian context. ",Seminar
summary of the workshop sponsored by the National,Seminar
"Christophe, C., & Carsten, F. (2008). Alternative taxiing means – engines stopped. Presented at the Airbus workshop on “Alternative taxiing means – Engines stopped”. ",Seminar
"Clark W, Christopher K. 2001. An introduction to DNA: spectrophotometry, degradation, and the 'Frankengel experiment. In Karcher SJ, editor. Proceedings of the 22nd workshop/conference of the association for biology laboratory education (ABLE); 2001; University of Alberta; Alberta, Canada.",Seminar
"Seno, A., 2008. Pengembangan Industri Furniture di Indonesia. Makalah workshop Pengembangan Keunggulan Lokal Program Studi Teknologi Hasil Hutan. Fakultas Kehutanan Universitas Gadjah Mada, Yogyakarta.",Seminar
"Raju, T.N.K., Higgins, R.D., Stark, A.R., & Leveno, K.J. (2006). Optimizing care and outcome for late preterm (near term) infants: A summary of the workshop sponsored by the National Institute of Child Health and Human Development. Pediatrics, 118, 1207–1214.",Seminar
"during a workshop at 82 Division, Nigerian Army, Enugu, Enugu state, Nigeria.",Seminar
"Marpaung. 2006. “Pendekatan Psikologi dan Budaya untuk meningkatkan kualitas pendidikan Matematika”. Makalah workshop lokal PMRI, 15 – 17 Juni 2006, Yogyakarta.",Seminar
"Mboi, Ben. 2009b. “Sekelumit “sejarah” terbentuknya Propoinsi Nusa Tenggara Timur: Flobamora di tengah persendian paruh abad pertama dan kedua Nusa Tenggara Timur menatap paruh-abad kedua 2008-2058”. [Paper, International workshop and seminar “Sustainable Development Strategy for the Secondary Cities”, Pangkalpinang, Bangka, 20-22 April 2009.]",Seminar
"Meyer,” Authentic Assessment”. http://.learner.org/channel/workshop/socialstudies/pdf/session7/7.performance assessment. Pdf (diunduh tanggal 20 April 2010).",Seminar
"[5] Steinbach, Michael, George Karypis, dan Vipin Kumar. ""A comparison of document clustering techniques."" KDD workshop on text mining. Vol. 400. No. 1. 2000.",Seminar
"Lindhe J, Meyle J. Peri-implant diseases: concensus report of the sixth european workshop on periodontology. J Clin Periodontol 2008; 35 (Suppl. 8): 282–5.",Seminar
workshop on infantile hemangiomas. Pediatr Dermatol,Seminar
"Azdan, D. 2011. Overview of Indonesia Water System and Policies. Presented at the workshop Sustainable Water Management for Agriculture, organized by the Ministry of Agriculture, Jakarta December 13, 2011: 1-15 p.",Seminar
"Reddy, M.P.M. (1993). Influence of the Various Oceanographic Parameters on the Abundance of Fish Catch. Proceeding of International workshop on Apllication of Satellite Remote Sensing for Identifying and Forecasting Potential Fishing Zones in Developing Countries, India, 7 -11 December 1993",Seminar
"SEAFDEC, South East Asia Fisheries Department. (2006). The regional training workshop on larval fish identification and fish early life history science.",Seminar
"K. Hedström and A. Grönlund, “The quest for development: reviewing ICT4D research,” GlobDev 2008: Proceedings annual workshop of the AIS, vol. Paper 24, 2008.",Seminar
"Ayu. 2012. Workshop Batik. (http://www.craftworkshopbali.com/workshops/batik/, diakses 14 Mei 2014).",Seminar
"Zainuddin, Mohd Zambri and Mohd Saiful Anwar Mohd Nawawi, Analisa Kriteria Kenampakkan Hilal Bagi Data 1972 Hingga 2011 Di Malaysia. a presented paper in international workshop Penyatuan Kalender Hijriyah : Sebuah Upaya Pencarian Kriteria Hilal yang Objektif Ilmiah, SemarangTo Wards Hijriah’s Calender Unification; an effort for seeking crescent’s criteria, scientifically and objectively, Desember, 12th 2012.",Seminar
workshop report. Bethesda: National Institutes of,Seminar
MIT Libraries. (2003). Survey of Institutional Readiness Checklist. MIT Libraries. Retrieved from http://www.dpworkshop.org/sites/default/files/readiness.pdf,Seminar
"CTI Interim-Regional Secretariat. (2013). Summary report: Coral triangle initiative on coral reefs, fisheries and food security.2nd Regional Priorities workshop, Manado, Indonesia.",Seminar
"Wu PS, Chou P, Chang NT, Sun WJ, Kuo HS. Assessment of changes in knowledge and stigmatization following tuberculosis training workshops in Taiwan. J Formos Med Assoc. 2009;108(5):377–85. doi: 10.1016/S0929-6646(09)60081-4.",Seminar
